127.0.0.1 - - [22/Dec/2022:16:52:49 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/ HTTP/1.1" 200 11613
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/example/title_dot.gif;jsessionid=2F390FF510BC9C9B9E659F71C6955D00 HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/css/egovframework/sample.css;jsessionid=2F390FF510BC9C9B9E659F71C6955D00 HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/example/btn_bg_r.gif;jsessionid=2F390FF510BC9C9B9E659F71C6955D00 HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [22/Dec/2022:16:52:51 +0900] "GET /SrBoardProject/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
